结构	用途选车	城市	国别	品牌	口碑参数	车系	论坛用词	资讯关键词	动作指令	保养项目	保养次数	问时间	问价格	生产厂商	指定拆词	外观描述	动力描述	配置描述	价格描述	排量描述	车身配置	车身参数	驱动电机数	发动机型号	进气形式	配气机构	发动机特有技术	供油方式	变速箱类型	驱动方式	助力类型	车体结构	驻车制动类型	备胎规格	四驱形式	中央差速器结构	电池类型	后排车门开启方式	电机布局	变速箱和简称	变速箱	简称	能源类型	缸盖材料和缸体材料	缸盖材料	缸体材料	前悬架类型和后悬架类型	前悬架类型	后悬架类型	前制动器类型和后制动器类型	前制动器类型	后制动器类型	级别	版型	颜色	环保标准	厂商	询价用词	热门	省	侧滑门	车窗一键升降	多天窗	方向盘调节	后排座椅放倒方式	近光灯	近光灯和远光灯	可变悬架	外接音源接口	扬声器品牌	远光灯	座椅材质	颜色类型	CD/DVD	可加热/制冷杯架	前桥限滑差速器/差速锁和后桥限滑差速器/差速锁	前桥限滑差速器/差速锁	后桥限滑差速器/差速锁	加速度描述	发动机	问公里
						进口高尔夫																																																炫动特别	达科他灰																										
						海外高尔夫																																																致富	石英灰																										
						高尔夫进口新能源																																																骑士	龙卷风灰																										
						电动高尔夫																																																鸿达豪华	达科塔灰																										
						高尔夫电动																																																栏板货车	飓风灰																										
						高尔海外																																																汽车之家专享	钛灰																										
						哥瑞																																																橙色	流星灰																										
						歌诗图																																																逸臻旅行	深青灰云母色																										
						歌诗图海外																																																够炫	摩卡灰																										
						进口歌诗图																																																幻悦	绅灰																										
						歌诗图进口																																																前驱锋尚	凝灰																										
						海外歌诗图																																																世博风尚	山灰色																										
						阁瑞斯																																																白金标准	山脉灰																										
						格蓝迪																																																远征	哑光山地灰																										
						格越																																																加长贵族	岩石灰																										
						古思特																																																致惠	巨石灰																										
						MKC																																																致尚	黑铜灰																										
						观致2																																																加速	月光石灰																										
						观致二																																																锋驭	月光石哑光灰色																										
						观致3																																																豪华游艇	燧石灰																										
						观致三																																																典藏舒享	亚光阿拉尼特雾灰																										
						观致5																																																酷翔	靛蓝灰																										
						观致五																																																高效	翡丽灰																										
						观致9																																																升级时尚	太空灰																										
						观致九																																																周年赛道冠军舒适	哈瓦那灰																										
						冠道																																																逸尊导航	神秘灰																										
						广汽吉奥GP150																																																周年典藏风华	矿石灰																										
						广汽吉奥GP一五零																																																黑白复刻	墨晶灰																										
						广汽吉奥GX6																																																新白金舒适	闪晶灰																										
						广汽吉奥GX六																																																经济短货箱	雪松灰																										
						广汽吉奥G叉六																																																超越	褐灰																										
						广汽吉奥G叉6																																																劲领	斯托诺韦灰																										
						广通艾菲																																																商务尊贵	奥克尼灰																										
						贵士																																																智领舒适	考斯威灰																										
						哈飞小霸王																																																时尚喝彩	怀托摩灰																										
						哈弗CONCEPTB																																																领运	喀尔巴阡灰																										
						哈弗CONCEPTR																																																青葱	科里斯灰																										
						哈弗COUPE																																																尊锐导航	斯科舍灰																										
						哈弗E																																																三厢豪华	博斯普鲁斯海峡灰																										
						哈弗H1																																																典藏标准	银河灰																										
						哈弗H一																																																创富双轮	向风海峡灰																										
						H一																																																十年限量珍藏	斯科费尔峰灰																										
						H1																																																享乐	钛金灰																										
						哈弗H2																																																豪华长货箱	金属灰																										
						H2																																																劲尚导航	格里湖灰																										
						哈弗H二																																																限量豪华	沙漠雾																										
						H二																																																超值豪华	加拉帕哥斯炭灰																										
						哈弗H2S																																																酷炫时尚	爵士灰																										
						H2S																																																蓝天尊贵	深灰																										
						H二S																																																如意	海涯灰																										
						哈弗H二S																																																经典加长	峡谷灰																										
						哈弗H3																																																加长	碳砾灰																										
						H三																																																智享尊领	致尊灰																										
						哈弗H三																																																旋彩	铟灰色																										
						H3																																																极致运动	暮雨灰																										
						哈弗H5																																																电动互联至尊	苍穹灰																										
						H五																																																运动天窗	铁灰色																										
						H5																																																够酷	月光灰																										
						哈弗H五																																																数字奥运	鲨鱼灰																										
						哈弗H6																																																荣耀	莱茵灰																										
						H六																																																赛事超豪华	磁性灰																										
						H6																																																代御领旗舰	海豚灰																										
						哈弗H六																																																基础	魅影灰																										
						哈弗H6COUPE																																																锐行	磁力灰																										
						H六COUPE																																																超值非空调	钨金灰																										
						H6COUPE																																																箱式货车	牡蛎灰																										
						哈弗H六COUPE																																																限量特别	戈壁浅灰																										
						哈弗H7																																																高底盘精英	钢坯																										
						哈弗H七																																																新白金标准	陨石灰																										
						H七																																																畅游	深碳色																										
						H7																																																厢式货运车	匹兹堡灰																										
						哈弗H8																																																尊域	晶岩浅灰																										
						哈弗H八																																																龙年88中国	雅银灰																										
						H八																																																春天	层云灰																										
						H8																																																蓝标时尚	水银灰																										
						哈弗H9																																																标准豪华运动	钛灰色																										
						H9																																																双离合舒适	宝石灰																										
						哈弗H九																																																典雅商务80周年典藏	数码灰																										
						H九																																																白领	浅炭灰																										
						哈弗HB02																																																迅雅	星际灰																										
						哈弗蓝标02																																																超能风尚智行	炫金灰																										
						HB零二																																																致乐	季风灰																										
						哈弗蓝标零二																																																奥运之星	星云灰																										
						哈弗HB零二																																																暑期	青茶灰																										
						HB02																																																品锐	乌龙灰																										
						哈弗HB03																																																豪华优雅	天云灰																										
						哈弗蓝标零三																																																皇家级	纳诺灰																										
						HB零三																																																航空舱	钻石银灰																										
						HB03																																																铉酷	珍珠灰																										
						哈弗HB零三																																																畅驭	滨海湾灰																										
						哈弗蓝标03																																																商通平顶	麦哲伦海湾灰																										
						哈弗HR02																																																锋酷	地图灰																										
						哈弗红标02																																																畅享导航	石墨灰																										
						HR零二																																																领先尊享	喷泉灰																										
						HR02																																																傲雅	哑灰																										
						哈弗HR零二																																																祺雅	炫灰																										
						哈弗红标零二																																																动派	晶灰																										
						哈弗蓝标																																																足金	烟墨灰																										
						蓝标																																																仓栅车后单胎	萨维尔灰																										
						哈弗红标																																																新精英	薄雾灰																										
						红标																																																金龙驭风	鱼子酱色																										
						哈弗IF																																																新启航	云层灰																										
						IF																																																宜商尊逸	风云灰																										
						哈弗M6																																																旗舰加距	晶石灰																										
						哈弗M六																																																辉煌	都市灰																										
						海锋																																																实乐	闪电灰																										
						海福星																																																精翼	冰岛灰																										
						海格H4E																																																乐视车联	密石灰																										
						海格H四E																																																高性能运动	云石灰																										
						海格H5C																																																名仕	深灰色																										
						海格H五C																																																至尊导航	暗灰色																										
						海格H5V																																																车享兄弟	浅灰色																										
						海格H五V																																																卓越奢华	珠银灰																										
						海格H6C																																																新动	贝壳灰																										
						海格H六C																																																智能豪华导航	灰白																										
						海格H6V																																																仓栅	山影灰																										
						海格H六V																																																领锐	白金灰																										
						海格H7V																																																驭红	水银灰云母																										
						海格H七V																																																商旅加	联合灰																										
						海景																																																智越	月表灰																										
						海马@3																																																豪华旅行	雷霆灰																										
						海马@三																																																旗舰标准轴距	日食灰																										
						海马3																																																第六代畅领豪华	开罗灰																										
						海马三																																																发烧友	玛斯帕灰																										
						海马C2																																																极致之光	帕蒂罗灰																										
						海马C二																																																拓野	铍灰																										
						海马C3																																																财富快车舒适	蛇纹灰																										
						海马C三																																																豪华动力	暮霭灰																										
						海马M3																																																智能豪华	青瓦灰																										
						海马M三																																																新全选+	白岩矿灰色哑光																										
						海马M6																																																加长商务	硫锰石灰																										
						海马M六																																																御利宝物流车	白铅灰																										
						海马M8																																																高功基本	幻影灰																										
						海马M八																																																致臻	云灰																										
						海马Me																																																系星快运	柯本灰																										
						海马S5																																																尊享52箱货	闪亮灰																										
						海马S五																																																尊荣旗舰	淡紫金属灰																										
						海马S5YOUNG																																																载货车	石墨金属灰																										
						海马S五YOUNG																																																蓝驱技术	珠光铂金灰																										
						海马S7																																																雳靓	阿尔菲里灰																										
						海马S七																																																财富快车舒适	花岗岩灰																										
						海马V70																																																加长运动	旅行灰																										
						海马V七零																																																晶享	努沃拉里灰																										
						海马爱尚																																																大海狮快运厢货	MARATEA灰																										
						海马爱尚EV																																																兴业长货箱	浅紫灰云母色																										
						海马骑士																																																摩崖特别	镭射灰																										
						海马王子																																																泵豪华中货箱	智尚灰																										
						海尚																																																御尊豪华	魔力灰																										
						海狮X30L																																																设计套件	至尊灰																										
						海狮叉三零L																																																布鲁克兰	午夜灰																										
						海狮X三零L																																																通勤纯电动低功	耀晶灰																										
						海狮叉30L																																																标准2	沙漠灰																										
						海星A7																																																莱动舒适标准货箱	烟灰																										
						海星A七																																																智劲	金灰																										
						海星A9																																																快运厢货	电光灰																										
						海星A九																																																智耀	灰蓝																										
						海星T20																																																商务客车经典	辰星灰																										
						海星T二零																																																快捷舒适	骑士灰																										
						海星T22																																																超享	山川灰																										
						海星T二二																																																商务互联	碳晶灰																										
						海炫																																																新时尚豪华	钛晶灰																										
						海迅																																																升级舒适	格调灰																										
						海域																																																标准轴距基本	锰矿灰色哑光																										
						海悦																																																大海狮领航旗舰	岛屿灰																										
						汉兰达																																																眩蓝	铁灰																										
						汉兰达进口																																																动能+	浅灰																										
						进口汉兰达																																																领潮	熔岩灰																										
						海外版汉兰达																																																表现派	莲花灰																										
						海外汉兰达																																																五周年典藏	深空灰																										
						汉腾EV																																																适·宜	精灵灰																										
						汉腾X5																																																优雅豪华	瓷灰色																										
						汉腾叉五																																																国王	银狐灰																										
						汉腾叉5																																																舒适对开门	贵族灰																										
						汉腾X五																																																商杰	狼堡灰																										
						汉腾X5新能源																																																两厢实用	海贝灰																										
						汉腾叉5电动																																																致逸	马赛灰																										
						汉腾叉五电动																																																商务智尊	雷迅灰																										
						汉腾X五电动																																																劲享	火山灰																										
						电动汉腾叉5																																																进取厢式车经典	金刚灰																										
						汉腾叉5新能源																																																三厢尊贵	钨钢灰																										
						汉腾X5电动																																																欧洲进取	城市灰																										
						电动汉腾叉五																																																入门	璧玉灰																										
						汉腾叉五新能源																																																红标尊贵	公爵灰																										
						汉腾X五新能源																																																蓝白双色无敌	波斯灰																										
						电动汉腾X5																																																天窗经典	豁达灰																										
						电动汉腾X五																																																都市增程	青铜灰																										
						汉腾X7																																																光芒限定	晶钻灰																										
						汉腾叉七																																																舒享导航	锡灰色																										
						汉腾叉7																																																智联舒适	浅紫灰																										
						汉腾X七																																																陆地公务机旗舰	火萃岩灰																										
						悍马H1																																																行政豪华设计套装	银冕灰																										
						悍马H一																																																系舒适	曼哈顿灰																										
						悍马H2																																																炫动	银钻灰																										
						悍马H二																																																快拆蓬	暖银灰																										
						悍马H3																																																明鉴领秀	月落云灰																										
						悍马H三																																																风尚豪华导航	绅士灰																										
						悍马HX																																																致诚	峻蓝灰云母																										
						悍马H叉																																																厚爱	好望角山岬灰																										
						撼路者																																																标准厢式运输车	铂灰																										
						撼路者海外																																																全景尊贵	普鲁士灰																										
						海外撼路者																																																豪华天窗	玄武灰																										
						撼路者进口																																																尊耀	橄榄灰																										
						进口撼路者																																																品尊	浅砂灰																										
						ABORT豪情																																																领先单色	铃鹿灰																										
						豪情SUV																																																智效领动	代托纳灰																										
						昊锐																																																标准短车身	玄铁灰																										
						和悦																																																精锐增配	潮流灰																										
						和悦A13																																																瑞翔	浅灰岩																										
						和悦A一三																																																新都市升级	炭晶灰																										
						和悦A13RS																																																五周年行政	白银灰																										
						和悦A一三RS																																																运动套装	锋砾锐灰																										
						和悦A20																																																舒适5长	云雾林灰																										
						和悦A二零																																																豪华导航欧	炭晶																										
						和悦A30																																																全混动锐尚	灰金属色																										
						和悦A三零																																																时尚升级	钻灰																										
						和悦A60																																																尊容级	古堡灰																										
						和悦A六零																																																领航超豪华	雾都灰																										
						和悦SC																																																尊品	燕尾灰																										
						黑金刚																																																创世加长	紫晶灰																										
						红旗BCONCEPT																																																悦酷	优雅灰																										
						红旗CA770																																																混动尊贵	戈壁灰																										
						红旗CA七七零																																																探索	胡椒灰																										
						红旗H5																																																风尚影音	科技灰																										
						红旗H五																																																创业双轮	摩登灰																										
						红旗H7																																																箱货	津巴布韦石雕灰																										
						红旗H七																																																时尚木内饰	云海灰																										
						红旗HS7																																																驭岳	映灰																										
						红旗HS七																																																赛车控	卫星灰																										
						红旗L5																																																限量奢华	铂晶灰																										
						红旗L五																																																旅行轿车	绅雅灰																										
						红旗L6																																																驰域特装	哲思灰																										
						红旗L六																																																进取	深邃灰																										
						红旗L7																																																虎跃	亚光灰																										
						红旗L七																																																财富	雅致灰																										
						红旗L9																																																上市特别	越野灰																										
						红旗L九																																																智领基本	天然灰																										
						红旗LS5																																																时尚运动真皮	暮雨灰/钢琴黑																										
						红旗LS五																																																超值中双	典雅灰																										
						红旗SCONCEPT																																																亲情	柏林灰																										
						红旗SUV																																																豪华导航	炫酷灰																										
						红旗UCONCEPT																																																舒适单色	热力灰																										
						红旗旗舰																																																征途	海王灰																										
						红旗盛世																																																巧克力特别	奥丁灰																										
						红杉																																																精英超值	铂钢灰																										
						虎视																																																变形	锗石灰																										
						花冠																																																商杰加	玄武岩灰																										
						华晨金杯750																																																两周年智享	火星灰																										
						华晨金杯七五零																																																锋领	云雾灰																										
						华凯皮卡																																																穿梭舒适	铀灰																										
						华普海景																																																财富小	碳灰																										
						华骐300E																																																巅峰创世典藏	闪光梦兰灰																										
						华骐三零零E																																																商杰国加	比利牛斯灰																										
						华颂7																																																创睿	游艇灰																										
						华颂七																																																炫酷	月夜灰																										
						华泰B11																																																红标领尚	品灰色																										
						华泰B一一																																																标准铝毂	伯爵灰																										
						华泰EV160B																																																智尊行政	凯库拉灰																										
						华泰EV一六零B																																																至臻典藏	魅力灰																										
						华泰IEV230																																																影院	浩宇灰																										
						华泰IEV二三零																																																轻客车畅运	酷感灰																										
						华泰XEV260																																																标双进取	水墨灰																										
						华泰XEV二六零																																																基本标准轴距	祥云灰																										
						华泰叉EV260																																																捍卫者	皓月灰																										
						华泰叉EV二六零																																																纵行	翡墨灰																										
						欢动																																																概念车	石灰色																										
						欢腾H1																																																互联尊贵	青瓷灰																										
						欢腾H一																																																欢动舒适	苏格兰灰																										
						幻影																																																共轨	钻石灰																										
						焕驰																																																精悍	铁银灰																										
						皇冠																																																风尚旗舰导航	碳素灰																										
						皇冠进口																																																尊行	灵动灰																										
						黄海N1																																																逸行	琥珀灰																										
						黄海N一																																																双离合尊享	银月灰																										
						黄海N2																																																巅峰创世	晨曦灰																										
						黄海N二																																																星光	极地灰																										
						黄海N3																																																系国星物流	磐石灰																										
						黄海N三																																																莱动标准超长货箱	银石灰																										
						辉昂																																																征峰	冰钛灰金属色																										
						辉昂新能源																																																加长行政	深灰云母金属色																										
						辉昂电动																																																蓝标基本	艾尼灰																										
						电动辉昂																																																财富快车标准	奥斯陆灰																										
						辉腾																																																兴业豪华	AMG伊莫拉灰																										
						慧影																																																商务	哑光蒙扎雾灰																										
						霍顿COLORADO																																																物流	哑光阿拉尼特雾灰																										
						霍顿TRAILBLAZER																																																智远	浅铁灰																										
						吉奥凯旋																																																新时尚加长	陨铁灰																										
						吉利EC6RV																																																精智	哥特灰																										
						吉利EC六RV																																																尊贵加长	岩墨灰																										
						吉利EC8																																																豪华共轨	精英灰																										
						吉利EC八																																																蓝标精英	丝绒灰																										
						吉利EC9																																																逐乐	泰坦灰																										
						吉利EC九																																																周年导航豪华	钨灰																										
						吉利EV7																																																车享	印第灰																										
						吉利EV七																																																智驱尊尚	博睿灰																										
						吉利EV8																																																皮卡	哈密尔顿灰																										
						吉利EV八																																																畅意	青墨灰																										
						吉利EX7																																																尚酷	大理灰																										
						吉利E叉七																																																双离合炫锋	耀金灰																										
						吉利E叉7																																																逸享旅行	宇宙灰																										
						吉利EX七																																																第五代创业经典	伦敦灰																										
						吉利EX8																																																酷行	蓝灰																										
						吉利E叉八																																																智联	炫动灰																										
						吉利EX八																																																致动	月光石灰色																										
						吉利E叉8																																																行政尊享	贵士灰																										
						吉利EX9																																																精英标准轴距	云河灰																										
						吉利E叉九																																																夺金	暗夜灰																										
						吉利E叉9																																																第五代创业豪华	星光灰																										
						吉利EX九																																																白金实用	汉堡灰																										
						吉利GC3																																																欧洲精英	自信灰																										
						吉利GC三																																																个性运动	战舰灰																										
						吉利GC5																																																公务豪华	FF灰																										
						吉利GC五																																																够惠	摩桑灰																										
						吉利GC6																																																风尚视野	金属漆深灰色																										
						吉利GC六																																																都市豪华	金属漆浅灰色																										
						吉利GC7																																																两厢双离合领锋	蒙特利尔灰																										
						吉利GC七																																																商旅之星豪华	天际灰																										
						吉利GE																																																四运动	浩瀚灰																										
						吉利GS																																																魅影	巴黎古典灰																										
						吉利GT																																																舒适背掀门	英岩灰																										
						吉利GV5																																																行政标准	灰																										
						吉利GV五																																																风尚设计套装	月桂灰																										
						吉利GX5																																																中国	冰光卡其灰																										
						吉利G叉五																																																乐酷	梦蓝灰																										
						吉利GX五																																																英伦风尚特别	时尚灰																										
						吉利G叉5																																																锋芒	尊贵灰																										
						吉利GX6																																																劲速	阿拉斯钛金灰																										
						吉利G叉6																																																向上	诺曼底灰																										
						吉利G叉六																																																鸿达超值	纸莎草灰																										
						吉利GX六																																																轿跑车磨砂	硫砷铜石灰																										
						吉利GX7																																																尊荣导航	深灰金属色																										
						吉利G叉七																																																精智导航	冷岩灰																										
						吉利GX七																																																旺业	暗灰云母色																										
						吉利G叉7																																																商务豪华	哑光铂金灰																										
						吉利GX8																																																实用舱	哑光锰矿灰色																										
						吉利GX八																																																炫锋	多宁顿灰																										
						吉利G叉八																																																经典32客车	纳多灰																										
						吉利G叉8																																																欧洲精英6	寒松灰																										
						吉利KC																																																两厢理想	闪光泰晤士灰																										
						吉利MPV概念车																																																精英运动天窗	闪光钛金灰																										
						吉利SC3																																																家悦天窗	运动灰																										
						吉利SC三																																																尚乐	动感灰																										
						吉利SC5																																																炫黑	山灰																										
						吉利SC五																																																城市游侠特别	哑光山灰																										
						吉利SC5RV																																																十周年旗舰	金沙灰																										
						吉利SC五RV																																																商运平顶	云母灰																										
						吉利SC6RV																																																劲驰	和谐灰																										
						吉利SC六RV																																																魔方之心	素雅灰																										
						吉利SC7RV																																																挚爱	磨砂灰																										
						吉利SC七RV																																																十周年精英	微光灰																										
						吉利SV5																																																限量舒适	烟晶灰																										
						吉利SV五																																																卓越	银砂灰																										
						吉利SX5																																																角斗士	旷野灰																										
						吉利S叉五																																																卡车长车身	别克灰																										
						吉利S叉5																																																创客舒适	安第斯灰																										
						吉利SX五																																																电子导航	潮暴灰																										
						吉利SX6																																																物流车	圣像灰																										
						吉利SX六																																																时光	锦玉灰																										
						吉利S叉6																																																新锐	晶岩灰																										
						吉利S叉六																																																商务厢货天然气	喀斯特灰																										
						吉利SX7																																																绿驱	星空灰																										
						吉利S叉7																																																新超值加长	明月灰																										
						吉利SX七																																																祥和豪华	冰钛灰																										
						吉利S叉七																																																超值厢货舒适	大西洋灰																										
						吉姆尼																																																客货两用	皓夜灰																										
						吉姆尼进口																																																睿动	松林灰																										
						海外版吉姆尼																																																豪域	海岩灰																										
						进口吉姆尼																																																真爱	塞纳灰																										
						海外吉姆尼																																																优尚	灰金属																										
						极流																																																陆尊	碧玺灰																										
						极睿																																																智炫·青春	彼得堡灰																										
						佳宝T50																																																雅致	珐琅灰																										
						佳宝T五零																																																加长精英	潘特灰																										
						佳宝T51																																																互联精英	瀚星灰																										
						佳宝T五一																																																帅真	赛道灰																										
						佳宝T57																																																真皮天窗特别	铬灰																										
						佳宝T五七																																																运动时尚	利帕里灰																										
						佳宝V52																																																新干线标准	斯特龙博利灰																										
						佳宝V五二																																																超悦时尚	维苏威火山灰																										
						佳宝V55																																																公务	极夜灰																										
						佳宝V五五																																																优选	战斗灰																										
						佳宝V70																																																翡冷翠经典	劲酷灰																										
						佳宝V七零																																																加长商务豪华	峻峰灰																										
						佳宝V70 II代																																																四季臻藏	州际灰																										
						佳宝V七零II代																																																混动尊享	曜岩灰																										
						佳宝V75																																																黑标	星尘灰																										
						佳宝V七五																																																彩色梦幻	都灵灰																										
						佳宝V77																																																易智	青岩灰																										
						佳宝V七七																																																锋尚	星夜灰																										
						佳宝V80																																																阿尔卑斯挑战之旅世纪典藏	曜石灰																										
						佳宝V八零																																																经典尊贵	星辰灰																										
						佳乐																																																澄净蓝	艾尔斯灰																										
						XTS海外																																																尊崇创世	钨钢灰/旋风橙																										
						嘉华																																																大王子	白灰色																										
						嘉华进口																																																乐途	沙砾皓灰																										
						海外版嘉华																																																安全车	星灰																										
						进口嘉华																																																加长舒适	雅痞灰																										
